code,name,list_time,source,plate_code
US.AAPL,,,fallback,
US.ABNB,,,fallback,
US.ADBE,,,fallback,
US.ADI,,,fallback,
US.ADP,,,fallback,
US.ADSK,,,fallback,
US.AEP,,,fallback,
US.AMAT,,,fallback,
US.AMD,,,fallback,
US.AMGN,,,fallback,
US.AMZN,,,fallback,
US.APP,,,fallback,
US.ARM,,,fallback,
US.ASML,,,fallback,
US.AVGO,,,fallback,
US.AXON,,,fallback,
US.AZN,,,fallback,
US.BIIB,,,fallback,
US.BKNG,,,fallback,
US.BKR,,,fallback,
US.CCEP,,,fallback,
US.CDNS,,,fallback,
US.CDW,,,fallback,
US.CEG,,,fallback,
US.CHTR,,,fallback,
US.CMCSA,,,fallback,
US.COST,,,fallback,
US.CPRT,,,fallback,
US.CRWD,,,fallback,
US.CSCO,,,fallback,
US.CSGP,,,fallback,
US.CSX,,,fallback,
US.CTAS,,,fallback,
US.CTSH,,,fallback,
US.DASH,,,fallback,
US.DDOG,,,fallback,
US.DXCM,,,fallback,
US.EA,,,fallback,
US.EXC,,,fallback,
US.FANG,,,fallback,
US.FAST,,,fallback,
US.FTNT,,,fallback,
US.GEHC,,,fallback,
US.GFS,,,fallback,
US.GILD,,,fallback,
US.GOOG,,,fallback,
US.GOOGL,,,fallback,
US.HON,,,fallback,
US.IDXX,,,fallback,
US.INTC,,,fallback,
US.INTU,,,fallback,
US.ISRG,,,fallback,
US.KDP,,,fallback,
US.KHC,,,fallback,
US.KLAC,,,fallback,
US.LIN,,,fallback,
US.LRCX,,,fallback,
US.MAR,,,fallback,
US.MCHP,,,fallback,
US.MDLZ,,,fallback,
US.MELI,,,fallback,
US.META,,,fallback,
US.MNST,,,fallback,
US.MRVL,,,fallback,
US.MSFT,,,fallback,
US.MSTR,,,fallback,
US.MU,,,fallback,
US.NFLX,,,fallback,
US.NVDA,,,fallback,
US.NXPI,,,fallback,
US.ODFL,,,fallback,
US.ON,,,fallback,
US.ORLY,,,fallback,
US.PANW,,,fallback,
US.PAYX,,,fallback,
US.PCAR,,,fallback,
US.PDD,,,fallback,
US.PEP,,,fallback,
US.PLTR,,,fallback,
US.PYPL,,,fallback,
US.QCOM,,,fallback,
US.QQQ,,,fallback,
US.REGN,,,fallback,
US.ROP,,,fallback,
US.ROST,,,fallback,
US.SBUX,,,fallback,
US.SHOP,,,fallback,
US.SMCI,,,fallback,
US.SNPS,,,fallback,
US.TEAM,,,fallback,
US.TMUS,,,fallback,
US.TRI,,,fallback,
US.TSLA,,,fallback,
US.TTD,,,fallback,
US.TTWO,,,fallback,
US.TXN,,,fallback,
US.VRSK,,,fallback,
US.VRTX,,,fallback,
US.WBD,,,fallback,
US.WDAY,,,fallback,
US.WMT,,,fallback,
US.XEL,,,fallback,
US.ZS,,,fallback,
