factor,rank_ic,icir,ic_positive_pct,sample_days
vol_126,0.1232,0.653,69.5,105
dd_from_high_21,-0.1084,-0.572,31.8,211
rsi_14,-0.1055,-0.59,28.6,217
vol_21,0.1042,0.607,68.1,210
dd_from_high_10,-0.0997,-0.528,32.4,222
rsi_21,-0.0959,-0.525,33.8,210
rsi_6,-0.0897,-0.527,35.1,225
vol_10,0.0793,0.454,65.2,221
ma_gap_21,-0.0786,-0.484,35.1,211
vol_63,0.0762,0.399,57.1,168
ret_10,-0.0727,-0.437,36.2,221
dd_from_high_5,-0.0694,-0.376,39.2,227
ret_5,-0.0588,-0.332,38.5,226
vol_5,0.0588,0.351,65.5,226
ret_21,-0.0547,-0.354,42.4,210
dd_from_high_63,-0.0421,-0.238,42.6,169
ret_63,0.0323,0.248,58.3,168
ret_126,0.0321,0.167,56.2,105
dd_from_high_126,-0.0299,-0.159,47.2,106
ma_gap_63,-0.0134,-0.101,43.8,169
vol_ratio_63,0.0123,0.088,52.7,169
vol_ratio_126,0.0096,0.073,50.9,106
vol_ratio_21,0.0094,0.067,52.6,211
vol_ratio_5,-0.0028,-0.021,49.8,227
vol_ratio_10,-0.0004,-0.003,51.4,222
ret_252,,,,0
vol_252,,,,0
dd_from_high_252,,,,0
vol_ratio_252,,,,0
mom_12_1,,,,0
